Temperature,Flow Difference
85.54,0.671489391
85.54,0.678470672
85.63,0.778122455
85.08,-0.2733233
84.5,0.129773502
84.57,0.085845933
89.08,0.543656478
89.27,0.565186581
89.34,0.650800519
89.82,0.782962731
90.38,0.79835089
90.86,0.847951213
80.25,-0.894700619
80.02,-0.718793829
80.13,-0.699353286
80.69,-0.695690115
80.67,-0.465024241
80.69,-0.393901816
80.74,-0.634646253
80.71,-0.367182181
80.64,-0.316155549
86.97,0.288957688
87.77,0.340928144
87.91,0.328156173
88.05,0.210453815
88.44,0.430641979
88.97,0.520990069
83.28,-0.295231502
83.07,-0.242120898
82.84,-0.160644204
82.65,-0.25370408
82.77,-0.357106625
82.77,-0.292385787
82.65,-0.421149355
82.35,-0.334684823
82.65,-0.249659555
82.38,-0.282720478
82.45,-0.166732403
82.75,-0.170215784
