Trial,Result,,
1,409,,
2,400,,
3,406,,
4,399,,
5,402,,
6,406,,
7,401,,
8,403,,
9,401,,
10,403,,
11,398,,
12,403,,
13,407,,
14,402,,
15,401,,
16,399,,
17,400,,
18,401,,
19,405,,
20,402,,
21,408,,
22,399,,
23,399,,
24,402,,
25,399,,
26,397,,
27,407,,
28,401,,
29,399,,
30,401,,
31,403,,
32,400,,
33,410,,
34,401,,
35,407,,
36,423,,
37,406,,
38,406,,
39,402,,
40,405,,
41,405,,
42,409,,
43,399,,
44,402,,
45,407,,
46,406,,
47,413,,
48,409,,
49,404,,
50,402,,
51,404,,
52,406,,
53,407,,
54,405,,
55,411,,
56,410,,
57,410,,
58,410,,
59,401,,
60,402,,
61,404,,
62,405,,
63,392,,
64,407,,
65,406,,
66,404,,
67,403,,
68,408,,
69,404,,
70,407,,
71,412,,
72,406,,
73,409,,
74,400,,
75,408,,
76,404,,
77,401,,
78,404,,
79,408,,
80,406,,
81,408,,
82,406,,
83,401,,
84,412,,
85,393,,
86,437,,
87,418,,
88,415,,
89,404,,
90,401,,
91,401,,
92,407,,
93,412,,
94,375,,
95,409,,
96,406,,
97,398,,
98,406,,
99,403,,
100,404,,
